Date,Region,Disease,New_Cases
2024-06-16,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),689
2024-06-23,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),856
2024-06-30,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),3183
2024-07-07,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),827
2024-07-14,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),745
2024-07-21,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),5293
2024-07-28,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1234
2024-08-04,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),566
2024-08-11,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),6047
2024-08-18,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),2025
2024-08-25,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),819
2024-09-01,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1065
2024-09-08,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1924
2024-09-15,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),2205
2024-09-22,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),396
2024-09-29,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),175
2024-10-06,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),919
2024-10-13,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),67
2024-10-20,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),296
2024-10-27,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),246
2024-11-03,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),183
2024-11-10,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),480
2024-11-17,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),196
2024-11-24,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),700
2024-12-01,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),163
2024-12-08,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1678
2024-12-15,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),638
2024-12-22,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),50
2024-12-29,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),879
2025-01-05,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),236
2025-01-12,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),534
2025-01-19,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),393
2025-01-26,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),648
2025-02-02,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),88
2025-02-09,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),374
2025-02-16,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),73
2025-02-23,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),402
2025-03-02,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),114
2025-03-09,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),146
2025-03-16,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),97
2025-03-23,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),55
2025-03-30,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),3
2025-04-06,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),0
2025-04-13,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),0
2025-04-20,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),0
2025-04-27,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),0
2025-05-04,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),0
2025-05-11,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),0
2025-05-18,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),0
2025-05-25,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),5
2025-06-01,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),109
2025-06-08,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),23
2025-06-15,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),353
2025-06-22,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),67
2025-06-29,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),301
2025-07-06,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),297
2025-07-13,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),2010
2025-07-20,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),618
2025-07-27,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),650
2025-08-03,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),600
2025-08-10,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1414
2025-08-17,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),979
2025-08-24,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1288
2025-08-31,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),918
2025-09-07,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1144
2025-09-14,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),192
2025-09-21,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1708
2025-09-28,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),754
2025-10-05,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),919
2025-10-12,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),613
2025-10-19,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),358
2025-10-26,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),485
2025-11-02,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),411
2025-11-09,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),502
2025-11-16,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),469
2025-11-23,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),889
2025-11-30,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),693
2025-12-07,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1092
2025-12-14,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),810
2025-12-21,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),894
2025-12-28,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),730
2026-01-04,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1602
2026-01-11,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),646
2026-01-18,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),493
2026-01-25,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),414
2026-02-01,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),477
2026-02-08,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),635
2026-02-15,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),386
2026-02-22,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),276
2026-03-01,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),337
2020-01-05,Delhi,Endemic Aggregate (Dengue/Malaria/Viral),6185
2020-01-12,Delhi,Endemic Aggregate (Dengue/Malaria/Viral),2883
2020-01-19,Delhi,Endemic Aggregate (Dengue/Malaria/Viral),196
2020-01-26,Delhi,Endemic Aggregate (Dengue/Malaria/Viral),1798
2020-02-02,Delhi,Endemic Aggregate (Dengue/Malaria/Viral),12609
2020-02-09,Delhi,Endemic Aggregate (Dengue/Malaria/Viral),8228
2020-02-16,Delhi,Endemic Aggregate (Dengue/Malaria/Viral),5212
2020-02-23,Delhi,Endemic Aggregate (Dengue/Malaria/Viral),290
2020-03-01,Delhi,Endemic Aggregate (Dengue/Malaria/Viral),475
2020-03-08,Delhi,Endemic Aggregate (Dengue/Malaria/Viral),1291
2020-03-15,Delhi,Endemic Aggregate (Dengue/Malaria/Viral),631
2020-03-22,Delhi,Endemic Aggregate (Dengue/Malaria/Viral),202
2020-03-29,Delhi,Endemic Aggregate (Dengue/Malaria/Viral),14
2020-04-05,Delhi,Endemic Aggregate (Dengue/Malaria/Viral),30
2020-04-12,Delhi,Endemic Aggregate (Dengue/Malaria/Viral),0
2020-04-19,Delhi,Endemic Aggregate (Dengue/Malaria/Viral),0
2020-04-26,Delhi,Endemic Aggregate (Dengue/Malaria/Viral),0
2020-05-03,Delhi,Endemic Aggregate (Dengue/Malaria/Viral),0
2020-05-10,Delhi,Endemic Aggregate (Dengue/Malaria/Viral),0
2020-05-17,Delhi,Endemic Aggregate (Dengue/Malaria/Viral),0
2020-05-24,Delhi,Endemic Aggregate (Dengue/Malaria/Viral),84
2020-05-31,Delhi,Endemic Aggregate (Dengue/Malaria/Viral),1367
2020-06-07,Delhi,Endemic Aggregate (Dengue/Malaria/Viral),975
2020-06-14,Delhi,Endemic Aggregate (Dengue/Malaria/Viral),522
